"Phone","Information","Kindergarten","CountInfo","CurrentCount"
"02-6012-5176","
유형 :가정학급(반)수 :8정현원 :20/19교직원수 :7
비교선택 
꿈동이어린이집 꿈동이어린이집 연장보육반 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로 130 108동 106호(답십리동,래미안위브)
","꿈동이어린이집","정현원 :20/19","19"
"02-2249-9520","
유형 :국공립학급(반)수 :6정현원 :20/20교직원수 :8
비교선택 
늘푸른어린이집 늘푸른어린이집 연장보육반 평가참여 재인증(4회) A
스카이뷰위치로드뷰
서울특별시 동대문구 서울시립대로 14 청계한신휴플러스아파트 관리동 (답십리동)
","늘푸른어린이집","정현원 :20/20","20"
"02-2212-8439","
유형 :민간학급(반)수 :8정현원 :67/34교직원수 :10
비교선택 
동대문어린이집 동대문어린이집 동대문어린이집 이동 평가참여 재인증(4회) A
스카이뷰위치로드뷰
서울특별시 동대문구 사가정로2길 13 (답십리동)
","동대문어린이집","정현원 :67/34","34"
"02-2213-7994","
유형 :국공립학급(반)수 :12정현원 :88/65교직원수 :17
비교선택 
래미안위브어린이집 래미안위브어린이집 연장보육반 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로 130 2단지 (답십리동, 래미안위브아파트)
","래미안위브어린이집","정현원 :88/65","65"
"02-2244-8881","
유형 :민간학급(반)수 :7정현원 :73/73교직원수 :12
비교선택 
미드카운티어린이집 미드카운티어린이집 연장보육반 평가참여 B
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로 141 (답십리동,래미안미드카운티아파트)
","미드카운티어린이집","정현원 :73/73","73"
"02-6713-1410","
유형 :국공립학급(반)수 :14정현원 :45/45교직원수 :14
비교선택 
서울답십리초등학교병설유치원 서울답십리초등학교병설유치원 서울답십리초등학교병설유치원 이동 -  
스카이뷰위치로드뷰
서울특별시 동대문구 전농로3길 23
","서울답십리초등학교병설유치원","정현원 :45/45","45"
"02-2248-3152","
유형 :공립(병설)학급(반)수 :4정현원 :70/62교직원수 :9
비교선택 
솔샘숲어린이집 솔샘숲어린이집 연장보육반 평가참여 인증(1회) B
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로 130 1단지 (답십리동, 래미안위브아파트)
","솔샘숲어린이집","정현원 :70/62","62"
"02-3394-7724","
유형 :민간학급(반)수 :14정현원 :73/67교직원수 :14
비교선택 
예뜰어린이집 예뜰어린이집 평가참여 재인증(2회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로45길 47
","예뜰어린이집","정현원 :73/67","67"
"02-2216-6509","
유형 :국공립학급(반)수 :16정현원 :74/33교직원수 :10
비교선택 
예은어린이집 예은어린이집 연장보육반 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로 130 106동 106호 (답십리동, 래미안위브아파트)
","예은어린이집","정현원 :74/33","33"
"02-2212-5673","
유형 :가정학급(반)수 :7정현원 :20/19교직원수 :8
비교선택 
청아어린이집 청아어린이집 연장보육반 평가참여 A
스카이뷰위치로드뷰
서울특별시 동대문구 천호대로55길 11 (답십리동,힐스테이트청계아파트 내)
","청아어린이집","정현원 :20/19","19"
